PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,Payment_std,Payment_min,Payment_max,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY,day,year,month,dayofweek,quarter
92.5625,6500000.0,610625000.0,0,2,0,0.0,2,481716494.6833355,270000000.0,951250000.0,2,0,0.0,15,2013,3,4,1
,,,0,0,0,0.0,0,,,,0,0,0.0,16,2013,3,5,1
,,,0,0,0,0.0,0,,,,0,0,0.0,17,2013,3,6,1
,,,0,0,0,0.0,0,,,,0,0,0.0,18,2013,3,0,1
,,,0,0,0,0.0,0,,,,0,0,0.0,19,2013,3,1,1
,,,0,0,0,0.0,0,,,,0,0,0.0,20,2013,3,2,1
,,,0,0,0,0.0,0,,,,0,0,0.0,21,2013,3,3,1
,,,0,0,0,0.0,0,,,,0,0,0.0,22,2013,3,4,1
,,,0,0,0,0.0,0,,,,0,0,0.0,23,2013,3,5,1
,,,0,0,0,0.0,0,,,,0,0,0.0,24,2013,3,6,1
,,,0,0,0,0.0,0,,,,0,0,0.0,25,2013,3,0,1
,,,0,0,0,0.0,0,,,,0,0,0.0,26,2013,3,1,1
,,,0,0,0,0.0,0,,,,0,0,0.0,27,2013,3,2,1
,,,0,0,0,0.0,0,,,,0,0,0.0,28,2013,3,3,1
,,,0,0,0,0.0,0,,,,0,0,0.0,29,2013,3,4,1
,,,0,0,0,0.0,0,,,,0,0,0.0,30,2013,3,5,1
,,,0,0,0,0.0,0,,,,0,0,0.0,31,2013,3,6,1
,,,0,0,0,0.0,0,,,,0,0,0.0,1,2013,4,0,2
,,,0,0,0,0.0,0,,,,0,0,0.0,2,2013,4,1,2
103.295,7500000.0,775075000.0,0,2,0,0.0,2,366740932.06240284,515750000.0,1034400000.0,2,0,0.0,3,2013,4,2,2
103.72,13500000.0,1394355000.0,0,2,0,0.0,2,1677108792.5504415,208460000.0,2580250000.0,2,0,0.0,4,2013,4,3,2
102.9981525,52500000.0,5408590250.0,1,4,0,0.0,4,3799004002.829371,1029600000.0,10306261000.0,4,0,0.0,5,2013,4,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,6,2013,4,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,7,2013,4,6,2
110.87538155737708,22082459.01639344,2535645598.5901637,4,15,5,102.0,122,3841112416.432919,0.0,25000000000.0,10,5,87.0,8,2013,4,0,2
106.01660167938935,23199236.641221374,2524491291.9083967,8,12,1,118.0,131,3272931138.574484,0.0,25000000000.0,11,1,106.0,9,2013,4,1,2
109.46196428571439,24687767.85714286,2812490771.09375,4,12,1,99.0,112,3650784517.9086194,0.0,25000000000.0,11,1,87.0,10,2013,4,2,2
104.72445260273976,21142931.506849315,2215525088.9383564,1,13,3,57.0,73,2470625487.7920322,2529000.0,10693000000.0,10,3,44.0,11,2013,4,3,2
135.45817389610392,39133116.883116886,6328552129.220779,12,15,1,61.0,77,10886050661.936132,27062500.0,50000000000.0,14,1,46.0,12,2013,4,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,13,2013,4,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,14,2013,4,6,2
109.2879251724138,27022844.827586208,2852093213.1465516,6,18,7,91.0,116,2719878092.5867414,0.0,10437500000.0,11,7,73.0,15,2013,4,0,2
120.09792432432435,21689729.72972973,2404454624.5945945,3,22,5,84.0,111,2322987290.4660473,0.0,10412490000.0,17,5,62.0,16,2013,4,1,2
104.83752759493676,26548797.46835443,2779424014.797468,14,21,2,135.0,158,3075646294.637469,20856240.0,10800000000.0,19,2,114.0,17,2013,4,2,2
106.02153926174495,21055570.469798658,2343332850.6845636,10,23,2,124.0,149,3937400907.7231135,0.0,37500000000.0,21,2,101.0,18,2013,4,3,2
165.71332375,31831500.0,7352014001.25,8,1,0,39.0,40,14683652718.61652,0.0,50000000000.0,1,0,38.0,19,2013,4,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,20,2013,4,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,21,2013,4,6,2
134.27978882352934,23794117.647058822,2805021010.2941175,2,13,8,47.0,68,3671213701.477873,0.0,25000000000.0,5,8,34.0,22,2013,4,0,2
124.04124130434784,15294637.68115942,1767801946.0289855,0,3,0,66.0,69,1561910153.8205001,0.0,10000000000.0,3,0,63.0,23,2013,4,1,2
110.13058362068963,14615517.24137931,1551096339.6551723,1,2,0,56.0,58,1726837025.8477447,0.0,10000000000.0,2,0,54.0,24,2013,4,2,2
121.90998685714287,17083142.85714286,1998794919.2857144,1,7,2,61.0,70,2217866005.6424646,0.0,10000000000.0,5,2,54.0,25,2013,4,3,2
200.7540586206897,26700000.0,9820364050.0,5,0,0,29.0,29,18710717707.163795,32430000.0,50000000000.0,0,0,29.0,26,2013,4,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,27,2013,4,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,28,2013,4,6,2
110.6492330508475,18581355.93220339,2008852180.5084746,3,6,6,49.0,59,2360645508.7378297,0.0,10687500000.0,0,6,43.0,29,2013,4,0,2
116.0137430851064,20941276.59574468,2277730704.787234,1,11,0,83.0,94,1912711055.6070096,0.0,10000000000.0,11,0,72.0,30,2013,4,1,2
105.92379511363637,21560681.818181816,2285604143.765909,0,10,4,74.0,88,1414739411.9173827,52968750.0,5301000000.0,6,4,64.0,1,2013,5,2,2
106.32331339285714,24571428.57142857,2612013930.357143,2,2,0,54.0,56,2097016222.634991,212187600.0,10637500000.0,2,0,52.0,2,2013,5,3,2
125.59653524590156,31396967.213114753,4629239590.983606,9,14,2,106.0,122,8253721160.2641,0.0,50000000000.0,12,2,92.0,3,2013,5,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,4,2013,5,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,5,2013,5,6,2
112.16830444444443,21948703.703703705,2398950548.148148,1,9,9,41.0,54,2135238761.7446032,0.0,10668750000.0,0,9,32.0,6,2013,5,0,2
110.63283449999999,20790000.0,2384031092.0,0,10,0,90.0,100,2830131702.798198,0.0,25000000000.0,10,0,80.0,7,2013,5,1,2
113.56302458333336,15803437.5,1862311921.3541667,0,4,4,90.0,96,2714281709.0613155,0.0,25000000000.0,0,4,86.0,8,2013,5,2,2
107.59980584905668,12416132.075471697,1327258035.8679245,0,11,1,94.0,106,1401393318.1122828,10728126.0,7000000000.0,10,1,83.0,9,2013,5,3,2
115.8023125748504,22276047.904191617,2846132807.6706586,6,19,1,147.0,167,7325106143.573342,0.0,50000000000.0,18,1,128.0,10,2013,5,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,11,2013,5,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,12,2013,5,6,2
96.23646441441444,22430252.25225225,1930601942.1585586,6,12,2,97.0,111,2616822928.54591,0.0,10900000000.0,10,2,85.0,13,2013,5,0,2
116.78874756410256,23500371.794871796,2833299891.401282,7,16,4,136.0,156,4033330790.9181857,0.0,25000000000.0,12,4,120.0,14,2013,5,1,2
116.71935869918701,27525772.35772358,3340467048.495935,6,10,2,111.0,123,4265361089.66925,0.0,30000000000.0,8,2,101.0,15,2013,5,2,2
109.64825375000007,22492884.615384616,2540110599.8846154,2,8,4,92.0,104,3059883036.4266553,0.0,25000000000.0,4,4,84.0,16,2013,5,3,2
152.83927209302323,25470465.11627907,7296453851.72093,5,2,2,39.0,43,15758239411.137556,28881576.0,50000000000.0,0,2,37.0,17,2013,5,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,18,2013,5,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,19,2013,5,6,2
112.16347589285712,30196428.57142857,3489961897.321429,0,7,0,49.0,56,3564676893.3220034,0.0,25000000000.0,7,0,42.0,20,2013,5,0,2
163.47995814814823,22657703.703703705,2865014946.6666665,5,7,0,128.0,135,3935366127.3175144,0.0,25000000000.0,7,0,121.0,21,2013,5,1,2
116.06613430769232,22197194.871794872,2561645641.115897,7,19,3,173.0,195,3344656548.5171013,0.0,25000000000.0,16,3,154.0,22,2013,5,2,2
106.14630806249997,24495875.0,2604855918.01875,8,16,3,141.0,160,2511604588.2261615,21687500.0,10739880000.0,13,3,125.0,23,2013,5,3,2
148.38879228915656,28337349.39759036,5283985319.277108,8,9,2,72.0,83,10381495756.992498,0.0,50000000000.0,7,2,63.0,24,2013,5,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,25,2013,5,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,26,2013,5,6,2
,,,0,0,0,0.0,0,,,,0,0,0.0,27,2013,5,0,2
104.9424818749999,29688595.505617976,3065639299.744318,17,29,21,128.0,176,3352393015.128092,-42718999.99999999,10731250000.0,8,21,99.0,28,2013,5,1,2
105.44520142857144,24996581.63265306,2637398997.3469386,8,23,3,170.0,196,2528776802.838597,58128125.0,10734375000.0,20,3,147.0,29,2013,5,2,2
105.67008422535204,19533380.28169014,2065023023.9577465,2,14,1,127.0,142,1769056773.940622,11640233.0,10575000000.0,13,1,113.0,30,2013,5,3,2
105.17783624999996,24641041.666666668,2591333512.5,4,14,2,128.0,144,2290999496.637646,38805600.0,10518928999.999998,12,2,114.0,31,2013,5,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,1,2013,6,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,2,2013,6,6,2
104.5390354748604,22298156.424581006,2331865381.340782,6,16,13,150.0,179,2256865373.459981,52250000.0,10626836999.999998,3,13,134.0,3,2013,6,0,2
109.00562544117642,22386893.203883495,2399035558.2352943,4,21,11,174.0,204,2045014399.8264651,5240625.0,10675000000.0,10,11,153.0,4,2013,6,1,2
103.64585323699424,26411069.36416185,2737086799.7398844,9,16,3,154.0,173,2672540726.178442,3097500.0,10668750000.0,13,3,138.0,5,2013,6,2,2
104.14596445229681,24012190.812720846,2489397201.943463,12,28,9,246.0,283,2410764646.696219,5124750.0,10317500000.0,19,9,218.0,6,2013,6,3,2
115.03017108786611,19424267.78242678,2627159286.6108785,7,23,7,209.0,239,5871958448.692805,5124750.0,50000000000.0,16,7,186.0,7,2013,6,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,8,2013,6,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,9,2013,6,6,2
103.82278980582525,25841213.59223301,2681581428.1553397,7,39,2,165.0,206,2336407413.623411,21000000.0,10377529000.0,37,2,126.0,10,2013,6,0,2
102.88136856573692,22008366.533864543,2263679848.6055775,8,40,1,210.0,251,2164827281.6810083,51640650.0,10556250000.0,39,1,170.0,11,2013,6,1,2
103.17617488888884,21115925.925925925,2179817216.5555553,10,39,6,225.0,270,2239996234.732377,31011000.0,10419000000.0,33,6,186.0,12,2013,6,2,2
118.18971420560739,23102803.738317758,2594650891.1214952,5,37,5,172.0,214,2165731429.9694805,103057500.0,10398500000.0,32,5,135.0,13,2013,6,3,2
121.59792428571423,20948571.42857143,3183522466.18,7,31,4,140.0,175,7515534132.971362,13499694.0,50000000000.0,27,4,109.0,14,2013,6,4,2
,,,0,0,0,0.0,0,,,,0,0,0.0,15,2013,6,5,2
,,,0,0,0,0.0,0,,,,0,0,0.0,16,2013,6,6,2
106.24887090361445,21183795.180722892,2232015415.5120482,5,73,73,82.0,166,2203249862.31072,57206250.0,10412100000.0,0,73,9.0,17,2013,6,0,2
