EXECUTION_TIMESTAMP,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
2016-01-04,-1.4792266136515342,-1.2096502927905917,-1.2985275279110988,0,0,0,42.0,42,0,0,42.0
2016-01-05,-1.446702541959723,-0.26257392904524207,-0.39104024933445075,0,2,1,28.0,31,1,1,26.0
2016-01-06,-1.5574932224016285,-0.09984177816044724,-0.24652374554483014,1,0,0,39.0,39,0,0,39.0
2016-01-07,0.2988166346593621,0.2812414019293378,0.1469242515219525,2,1,0,59.0,60,1,0,58.0
2016-01-08,1.2707021943721701,0.8471411208563189,0.7712478003884036,4,1,0,84.0,85,1,0,83.0
2016-01-09,,,,0,0,0,0.0,0,0,0,0.0
2016-01-10,,,,0,0,0,0.0,0,0,0,0.0
2016-01-11,1.022273470871264,-0.27478353284973744,-0.29770099439977793,1,1,0,42.0,43,1,0,41.0
2016-01-12,2.960386625443167,0.48771292494944657,0.5282991528016773,2,4,1,73.0,78,3,1,69.0
2016-01-13,0.41144498157845,0.6845006811732223,0.7527578641872067,4,0,0,56.0,56,0,0,56.0
2016-01-14,-0.5157083411317487,-0.006458277931634729,-0.126899909070673,1,5,2,79.0,86,3,2,74.0
2016-01-15,-2.191703716775628,0.5686609415974757,0.31740126640853367,3,1,1,68.0,70,0,1,67.0
2016-01-16,,,,0,0,0,0.0,0,0,0,0.0
2016-01-17,,,,0,0,0,0.0,0,0,0,0.0
2016-01-18,,,,0,0,0,0.0,0,0,0,0.0
2016-01-19,-2.1466594644187103,-0.5706316193321307,-0.7354601063055559,2,9,3,65.0,77,6,3,56.0
2016-01-20,-2.1418993830754243,1.305739639948674,1.028971332152801,12,4,1,117.0,122,3,1,113.0
2016-01-21,-2.0973783866971627,-0.13823708320097056,-0.33337329197055404,0,7,2,85.0,94,5,2,78.0
2016-01-22,-1.671015650414743,0.7172985448889159,0.5286548904141708,2,5,4,59.0,68,1,4,54.0
2016-01-23,,,,0,0,0,0.0,0,0,0,0.0
2016-01-24,,,,0,0,0,0.0,0,0,0,0.0
2016-01-25,-1.8054019472460296,0.7917154065086973,0.5997848908054252,6,4,2,54.0,60,2,2,50.0
2016-01-26,-1.8617807212586934,0.5419836300933734,0.33857573620215936,0,1,0,57.0,58,1,0,56.0
2016-01-27,-1.884384757230232,-0.4005421915557368,-0.5595262888067194,1,2,0,62.0,64,2,0,60.0
2016-01-28,-1.6556186428975426,0.11860895545634541,-0.03722467355769383,2,4,1,74.0,79,3,1,70.0
2016-01-29,-1.649508938733138,0.028315786374409627,-0.1349066615052987,1,1,0,64.0,65,1,0,63.0
2016-01-30,,,,0,0,0,0.0,0,0,0,0.0
2016-01-31,,,,0,0,0,0.0,0,0,0,0.0
2016-02-01,1.2220479278411867,-0.7750825955674638,-0.7580632114765795,1,1,0,33.0,34,1,0,32.0
2016-02-02,8.047115700574103,-0.617668624597527,-0.4389281003117924,2,0,0,51.0,51,0,0,51.0
2016-02-03,2.15118614873165,0.3034872016764371,0.2539624617474248,1,4,2,55.0,61,2,2,51.0
2016-02-04,1.5346234218061072,-0.9663922756148686,-0.928669054480566,0,4,1,35.0,40,3,1,31.0
2016-02-05,-1.972861400286903,0.09748999560664426,-0.0855705599921331,3,2,1,66.0,69,1,1,64.0
2016-02-06,,,,0,0,0,0.0,0,0,0,0.0
2016-02-07,,,,0,0,0,0.0,0,0,0,0.0
2016-02-08,1.444499782963833,-0.20408576182354166,-0.18387162170538932,2,4,1,63.0,68,3,1,59.0
2016-02-09,1.7060669938646102,-0.5570025426012924,-0.39146145178267594,1,2,0,66.0,68,2,0,64.0
2016-02-10,4.94000984586277,-0.3667544683600304,0.035550607075862294,3,2,0,75.0,77,2,0,73.0
2016-02-11,-0.5259855364879545,-0.2246559731214901,-0.20300459552377928,4,1,1,66.0,68,0,1,65.0
2016-02-12,-0.24242025751097737,1.4269948167270103,1.2720179847224862,5,2,2,66.0,70,0,2,64.0
2016-02-13,,,,0,0,0,0.0,0,0,0,0.0
2016-02-14,,,,0,0,0,0.0,0,0,0,0.0
2016-02-15,,,,0,0,0,0.0,0,0,0,0.0
2016-02-16,-2.36536259589524,0.31746646173847787,0.07216306290684445,2,0,0,40.0,40,0,0,40.0
2016-02-17,1.5775907197563146,0.37644633852856935,0.24151379877541782,1,1,1,70.0,72,0,1,69.0
2016-02-18,0.09862980242852518,-0.21556066590155687,-0.33782179936048523,2,5,0,56.0,61,5,0,51.0
