EXECUTION_TIMESTAMP,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
2016-01-04,100.5112288095238,12319285.714285715,123766.30004761905,0,0,0,42.0,42,0,0,42.0
2016-01-05,100.62164838709677,18541612.903225806,186566.93661290323,0,2,1,28.0,31,1,1,26.0
2016-01-06,100.2455128205128,19610769.230769232,196567.87948717948,1,0,0,39.0,39,0,0,39.0
2016-01-07,106.547705,22114500.0,223795.57210000002,2,1,0,59.0,60,1,0,58.0
2016-01-08,109.84726705882353,25832482.352941178,267000.4932235294,4,1,0,84.0,85,1,0,83.0
2016-01-09,,,,0,0,0,0.0,0,0,0,0.0
2016-01-10,,,,0,0,0,0.0,0,0,0,0.0
2016-01-11,109.00384883720928,18461395.348837208,193026.271927907,1,1,0,42.0,43,1,0,41.0
2016-01-12,115.58376410256413,23471025.64102564,250187.773,2,4,1,73.0,78,3,1,69.0
2016-01-13,106.93007946428574,24763928.57142857,265720.93835714285,4,0,0,56.0,56,0,0,56.0
2016-01-14,103.7823838372093,20224302.325581394,204846.18074418604,1,5,2,79.0,86,3,2,74.0
2016-01-15,98.09236128571426,24002857.14285714,235593.05434285713,3,1,1,68.0,70,0,1,67.0
2016-01-16,,,,0,0,0,0.0,0,0,0,0.0
2016-01-17,,,,0,0,0,0.0,0,0,0,0.0
2016-01-18,,,,0,0,0,0.0,0,0,0,0.0
2016-01-19,98.245287012987,16517662.337662337,162732.1272727273,2,9,3,65.0,77,6,3,56.0
2016-01-20,98.2614475409836,28845491.80327869,284835.67640983604,12,4,1,117.0,122,3,1,113.0
2016-01-21,98.41259680851067,19358510.63829787,190557.64999999997,0,7,2,85.0,94,5,2,78.0
2016-01-22,99.8601029411765,24979411.76470588,250212.39102941175,2,5,4,59.0,68,1,4,54.0
2016-01-23,,,,0,0,0,0.0,0,0,0,0.0
2016-01-24,,,,0,0,0,0.0,0,0,0,0.0
2016-01-25,99.40386000000004,25468333.333333332,255134.78433333331,6,4,2,54.0,60,2,2,50.0
2016-01-26,99.21245344827584,23827586.20689655,237058.3863793103,0,1,0,57.0,58,1,0,56.0
2016-01-27,99.13571249999998,17635156.25,174907.23539062502,1,2,0,62.0,64,2,0,60.0
2016-01-28,99.91237594936709,21045998.734177217,211051.95575316454,2,4,1,74.0,79,3,1,70.0
2016-01-29,99.93311846153844,20452769.230769232,204292.09126923076,1,1,0,64.0,65,1,0,63.0
2016-01-30,,,,0,0,0,0.0,0,0,0,0.0
2016-01-31,,,,0,0,0,0.0,0,0,0,0.0
2016-02-01,109.68208529411766,15174411.764705881,161167.92970588233,1,1,0,33.0,34,1,0,32.0
2016-02-02,132.85326470588234,16208627.450980391,183252.96450980392,2,0,0,51.0,51,0,0,51.0
2016-02-03,112.83651967213116,22260655.737704918,231202.9131147541,1,4,2,55.0,61,2,2,51.0
2016-02-04,110.74328250000005,13917500.0,149361.5322,0,4,1,35.0,40,3,1,31.0
2016-02-05,98.83533333333335,20907246.376811594,207706.28632608696,3,2,1,66.0,69,1,1,64.0
2016-02-06,,,,0,0,0,0.0,0,0,0,0.0
2016-02-07,,,,0,0,0,0.0,0,0,0,0.0
2016-02-08,110.43731176470591,18925882.352941178,200903.58022058825,2,4,1,63.0,68,3,1,59.0
2016-02-09,111.32533529411768,16607205.88235294,186537.78823529414,1,2,0,66.0,68,2,0,64.0
2016-02-10,122.3046064935065,17857142.85714286,216088.20701298703,3,2,0,75.0,77,2,0,73.0
2016-02-11,103.7474926470588,18790735.29411765,199579.52536764706,4,1,1,66.0,68,0,1,65.0
2016-02-12,104.71019985714291,29642142.85714286,301655.17885,5,2,2,66.0,70,0,2,64.0
2016-02-13,,,,0,0,0,0.0,0,0,0,0.0
2016-02-14,,,,0,0,0,0.0,0,0,0,0.0
2016-02-15,,,,0,0,0,0.0,0,0,0,0.0
2016-02-16,97.50278750000001,22352500.0,218621.89050000004,2,0,0,40.0,40,0,0,40.0
2016-02-17,110.88915694444448,22740000.0,230341.43111111113,1,1,1,70.0,72,0,1,69.0
2016-02-18,105.86806852459014,18850491.80327869,190249.80095081966,2,5,0,56.0,61,5,0,51.0
2016-02-19,132.70341463414633,16013170.731707318,256189.44582926828,1,3,1,37.0,41,2,1,34.0
2016-02-20,,,,0,0,0,0.0,0,0,0,0.0
2016-02-21,,,,0,0,0,0.0,0,0,0,0.0
2016-02-22,98.27902757575754,23769696.96969697,234344.0895272727,2,3,0,63.0,66,3,0,60.0
2016-02-23,103.06495555555556,22337777.777777776,228738.45101851854,2,1,0,53.0,54,1,0,52.0
2016-02-24,104.26992564102565,31477307.692307692,316651.64594871795,10,2,0,76.0,78,2,0,74.0
2016-02-25,113.21179999999997,19552666.666666668,207253.1595,2,1,0,59.0,60,1,0,58.0
2016-02-26,105.85764612903226,17889193.548387095,184259.65390064503,1,5,2,55.0,62,3,2,50.0
2016-02-27,,,,0,0,0,0.0,0,0,0,0.0
2016-02-28,,,,0,0,0,0.0,0,0,0,0.0
2016-02-29,113.51186051724135,11537931.034482758,125100.1305344828,1,3,1,54.0,58,2,1,51.0
2016-03-01,116.92093888888891,19433888.888888888,199786.65759999998,2,1,0,71.0,72,1,0,70.0
2016-03-02,97.55220264705883,29707205.88235294,205244.34219117646,1,3,1,64.0,68,2,1,61.0
2016-03-03,112.94813880597016,35117313.43283582,364137.1767164179,7,9,5,53.0,67,4,5,44.0
2016-03-04,111.03407288135604,22346016.949152544,232004.31035593222,3,8,2,108.0,118,6,2,100.0
2016-03-05,,,,0,0,0,0.0,0,0,0,0.0
2016-03-06,,,,0,0,0,0.0,0,0,0,0.0
2016-03-07,106.868040625,18834375.0,193724.64898437503,3,0,0,64.0,64,0,0,64.0
