PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
92.5625,6500000.0,610625000.0,0,2,0,0.0,2,2,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
103.295,7500000.0,775075000.0,0,2,0,0.0,2,2,0,0.0
103.72,13500000.0,1394355000.0,0,2,0,0.0,2,2,0,0.0
102.9981525,52500000.0,5408590250.0,1,4,0,0.0,4,4,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
110.87538155737708,22082459.01639344,2535645598.5901637,4,15,5,102.0,122,10,5,87.0
106.01660167938935,23199236.641221374,2524491291.9083967,8,12,1,118.0,131,11,1,106.0
109.46196428571439,24687767.85714286,2812490771.09375,4,12,1,99.0,112,11,1,87.0
104.72445260273976,21142931.506849315,2215525088.9383564,1,13,3,57.0,73,10,3,44.0
135.45817389610392,39133116.883116886,6328552129.220779,12,15,1,61.0,77,14,1,46.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
